aeróstato	balloon	
afabilidade	kindness	
afagar	coddle	
afanoso	difficult	
afasia	aphasia	
afastado	distant	
afastar	eliminate	
afectado	affected	
afectar	attitudinize	
afectação	affectation	
afecção	affection	
afegane	afghan	
afeganistão	afghanistan	
afegã	afghan	
afeição	friendship	
aferroar	pick	
aferrolhar	bolt	
aferventar	boil	
afiançar	assert	
afiar	sharpen	
afinado	correct	
afinar	tune	
afinação	agreement	
afinidade	affinity	
afirmacão	contention	
afirmar	affirm	
afivelar	buckle	
afixar	placard	
afixo	affix	
afligir	afflict	
aflito	sad	
aflição	affliction	
afogar	drown	
afoito	brave	
afora	outside	
aforismo	aphorism	
africano	african	
afrodisíaco	aphrodisiac	
afrodite	aphrodite	
afrontar	confront	
afugentar	expel	
afável	affable	
afã	effort	
agasalhar	muffle	
agasalho	coat	
agenciar	negotiate	
agencioso	active	
agente	agent	
agir	act	
agitar	abet	
agitação	agitation	
aglomerado	agglomeration	
aglomerar	agglomerate	
aglomeração	agglomeration	
aglutinar	agglutinate	
agnosticista	agnostic	
agnóstico	agnostic	
agonia	affliction	
agonizar	agonize	
agora	now	A
agorafobia	agoraphobia	
agosto	august	
agourar	forecast	
agouro	indication	
agradabilidade	pleasantness	
agradar	please	
agradavelmente	agreeably	
agradecer	thank	
agradecido	thankful	
agradecimento	gratitude	
agradável	agreeable	
agravar	appeal	
agredir	assault	
agressivo	aggressive	
agressor	aggressive	
agressão	aggression	
agreste	crude	
agricultura	agriculture	
agridoce	bittersweet	
agrimônia	agrimony	
agripa	agrippa	
agro	field	
agronomia	agriculture	
agronômico	agricultural	
agrura	acerbity	
agrônomo	agriculturist	
aguado	airy	
aguardar	abide	
aguardente	brandy	
aguaçar	rouse	
agudeza	acerbity	
agudo	sharp	
aguentar	abide	
aguilhão	spur	
agulha	needle	
aguçado	pointed	
aguçar	sharpen	
agárico	mushroom	
agência	agency	
agüentar	abide	
ai	ouch	A
aia	nurse	
ainda	also	
aipo	celery	
airoso	elegant	
airão	heron	
ajuda	aid	
ajudar	abet	
ajuizado	sagacious	
ajuizar	appraise	
ajuntar	add	
ajustar	accomodate	
ajuste	adaptation	
ajustável	adaptable	
alabastrino	alabaster	
alabastro	alabaster	
alagar	flood	
alameda	avenue	A
alardear	display	
alarma	alarm	
alarmante	alarming	
alarmar	alarm	
alarme	alarm	
alasca	alaska	
alavanca	crowbar	
alaúde	lute	
albanês	albanian	
albatroz	albatross	
albergue	asylum	
alberto	albert	A
albricoque	apricot	
alburno	alburnum	
albânia	albania	
albúmen	albumen	
alcachofra	artichoke	
alcalino	alkaline	
alcance	range	
alcançar	accomplish	
alcançável	accessible	
alcatroar	tar	
alcatrão	tar	
alce	elk	
alcedo	halcyon	A
alcoice	brothel	
alcoolismo	alcoholism	
alcorão	koran	
alcova	alcove	
alcoólico	alcoholic	
alcíone	halcyon	
aldeia	village	
aldeído	aldehyde	
aleatório	doubtful	
alegar	claim	
alegoria	allegory	
alegre	cheerful	A
alegria	gladness	
aleijado	crippled	
alemanha	germany	
alemão	german	
alentar	encourage	
alergia	allergy	
alerta	adroit	
alexandre	alexander	
alexandrino	alexandrine	
alfa	alpha	
alfabeto	alphabet	
alfabético	alphabetical	
alface	lettuce	
alfaiate	tailor	
alfinete	pin	
alforje	backpack	
alfredo	alfred	
alfândega	customs	
algarismo	cipher	
algemar	fetter	
algibeira	pocket	
algo	anything	
