abendtrunk	sundowner	
abendzeit	evening	
abenteuer	adventure	
abenteuerlich	adventurous	
abenteuerlichkeit	adventurousness	
abenteuerlust	adventurousness	
abenteuerlustig	adventuresome	
abenteuerreich	adventurous	
abenteurer	adventurer	
abenteurerin	adventuress	
abenteurertum	adventurism	
aber	but	
aberglaube	superstition	
abergläubisch	superstitious	
aberkannt	deprived	
aberkennend	depriving	
aberkennung	deprivation	
aberkennungen	deprivations	
abermalig	further	
abermals	again	
aberntend	harvesting	
aberrationen	aberrations	
aberregend	deenergizing	
aberregt	deenergized	
aberregung	decay	
aberwille	abomination	
aberwitz	madness	
aberwitzig	crazy	
abessinien	abyssinia	
abessinisch	abyssinian	
abessiv	abessive	
abfackelmast	flare	
abfackelmasten	flares	
abfackeln	flaring	
abfackelnd	flaring	
abfackelung	flaring	
abfahrend	leaving	
abfahrt	exit	
abfahrten	exits	
abfahrtslauf	downhill	
abfahrtsrennen	downhill	
abfall	waste	
abfallbehälter	dustbin	
abfalleimer	dustbin	
abfallen	decline	
abfallend	sloping	
abfallfresser	detritivore	
abfallgitter	matrix	
abfallhalde	dumpsite	
abfallhalden	dumpsites	
abfallhaufen	dump	
abfallkippe	dumpsite	
abfallkippen	dumpsites	
abfallpapier	spoilage	
abfallprodukt	byproduct	
abfallrohr	downpipe	
abfallrohre	downpipes	
abfallstoffe	excreta	
abfalltonne	dustbin	
abfalltonnen	dustbins	
abfallverbrennungsofen	incinerator	
abfallverbrennungsöfen	incinerators	
abfallverzehrend	detritivor	
abfangeinsatz	intercept	
abfangen	interception	
abfangend	underpinning	
abfangjagd	interception	
abfangjäger	interceptor	
abfasend	chamfering	
abfassend	writing	
abfassung	composition	
abfassungen	compositions	
abfasung	chamfer	
abfedernd	absorbing	
abfederung	springing	
abferkeln	farrowing	
abferkelnd	farrowing	
abferkelt	littered	
abferkelung	farrowing	
abfertigend	dispatching	
abfertigung	clearing	
abfettend	greasing	
abfeuern	firing	
abfeuernd	firing	
abfindung	gratuity	
abfindungen	gratuities	
abfindungssumme	payment	
abfindungssummen	payments	
abflachend	flattening	
abflachung	flattening	
abflammend	scorching	
abflauen	abatement	
abflauend	flagging	
abfliegend	departing	
abfließen	drain	
abfluchtend	aligning	
abflugraster	slot	
abfluss	drain	
abflussgebiet	catchment	
abflussgebiete	catchments	
abflussglocke	plunger	
abflussglocken	plungers	
abflussgraben	gutter	
abflussgräben	gutters	
abflussleitung	drainpipe	
abflussleitungen	drainpipes	
abflussloch	plughole	
abflusslöcher	plugholes	
abflussmenge	discharge	
abflusspümpel	plunger	
abflussrinne	sluice	
abflussrinnen	sluices	
abflussrohr	drainpipe	
abflussrohre	drainpipes	
abflussstampfer	plunger	
abflussstelle	outlet	
abflussstellen	outlets	
abflussöffnung	plughole	
abflussöffnungen	plugholes	
abflüge	departures	
abflüsse	drainpipes	
abfohlen	foaling	
abfohlend	foaling	
abfolge	sequence	
abfolgen	sequences	
abfordernd	demanding	
abformen	moulding	
abformend	moulding	
abforstung	deforestation	
abforstungen	deforestations	
abfotografierend	photographing	
abfotografiert	photographed	
abfragbar	searchable	
abfrage	request	
abfragen	retrieval	
abfragend	retrieving	
abfragequote	recall	
abfrager	interrogator	
abfragesender	interrogator	
abfragestelle	interrogator	
abfuhr	removal	
abfälle	detritus	
abfällig	disparaging	
abfälligkeit	snideness	
abfärben	blotting	
abfärbend	fading	
abfühlen	palpation	
abfühlend	sensing	
abfühlstift	pecker	
abfühlstifte	peckers	
abfühlung	sensing	
abführend	laxative	
abführmittel	laxative	
abführung	payment	
abfüller	bottler	
abfüllerfirma	bottler	
abfüllerfirmen	bottlers	
abfüllfirma	bottler	
abfüllfirmen	bottlers	
abfüllung	filling	
abfütternd	feeding	
abfütterung	feeding	
abgabe	duty	
abgabefrist	deadline	
abgaben	duties	
abgabenerklärung	return	
abgabenerklärungen	returns	
abgabenpflichtig	taxable	
abgabenpflichtige	taxpayers	
abgabenpflichtiger	taxpayer	
abgabepflichtig	taxable	
abgabepflichtige	taxpayers	
abgabepflichtiger	taxpayer	
abgang	finish	
abgangsgruppe	nucleofuge	
abgangszeugnis	diploma	
abgas	exhaust	
abgasendrohr	tailpipe	
abgasfahne	plume	
abgasfahnen	plumes	
abgaskatalysator	converter	
abgaskatalysatoren	converters	
abgaunernd	wangling	
abgearbeitet	processed	
abgebalgt	skinned	
abgeballert	zapped	
abgebaut	depleted	
abgebeert	stemmed	
abgebeizt	stripped	
abgebend	dropping	
abgebildet	pictured	
abgeblasen	canceled	
abgeblendet	shaded	
abgeblitzt	rebuffed	
abgeblockt	declined	
abgeblättert	flaked	
abgebogen	turned	
abgebracht	diverted	
abgebrannt	irradiated	
abgebrochen	abrupt	
abgebrüht	scalded	
abgebunden	set	
abgeböscht	scarped	
abgebüßt	atoned	
abgedampft	evaporated	
abgedankt	abdicated	
abgedeckt	covered	
abgedichtet	sealed	
abgedockt	undocked	
abgedreht	kooky	
abgedroschen	hackneyed	
abgedrosselt	throttled	
abgedruckt	published	
abgedunkelt	shaded	
abgedämpft	muted	
abgedünstet	vaporized	
abgeerntet	harvested	
abgefackelt	flared	
abgefahren	trippy	
abgefallen	dipped	
abgefangen	intercepted	
abgefasst	drafted	
abgefast	chamfered	
abgefedert	absorbed	
abgefeimt	sly	
abgeferkelt	farrowed	
abgefertigt	dispatched	
abgefettet	greased	
abgefeuert	fired	
abgeflacht	levelled	
abgeflammt	scorched	
abgeflaut	slackened	
abgeflogen	departed	
abgefluchtet	aligned	
abgefohlt	foaled	
abgefordert	demanded	
abgeformt	moulded	
abgefragt	retrieved	
abgefunden	compensated	
abgefärbt	faded	
abgefühlt	sensed	
abgeführt	removed	
abgefüllt	loaded	
abgefüttert	fed	
abgegangen	exited	
abgegaunert	wangled	
abgegeben	dropped	
abgeglichen	balanced	
abgeglitten	slipped	
abgegolten	satisfied	
abgegossen	decanted	
abgegrast	cropped	
abgegratet	stripped	
abgegrenzt	delimited	
abgegriffen	worn	
abgeguckt	copied	
abgehackt	choppy	
abgehackter	choppier	
abgehalten	held	
abgehandelt	treated	
abgehangen	hung	
abgehaspelt	unwound	
abgehauen	runaway	
abgeheilt	healed	
abgehend	outbound	
abgehetzt	exhausted	
abgehoben	removed	
abgeholfen	relieved	
abgeholt	collected	
