agacer	tease	
agathe	agatha	
agaçant	aggravating	
agence	agency	
agenda	diary	A
aggloméré	agglomerate	
agglutinant	adhesive	
agglutiner	agglutinate	
aggraver	heighten	
agir	act	
agissant	active	
agiter	abet	
agité	crazy	
agneau	lamb	
agnostique	agnostic	
agonie	agony	
agoniser	agonize	
agoraphobie	agoraphobia	
agrafe	clasp	
agrafer	clasp	
agrander	aggrandize	
agrarien	agrarian	
agressif	aggressive	
agression	aggression	
agriculteur	agrarian	
agripper	clutch	
agronome	agriculturist	
agronomie	agriculture	
agronomique	agricultural	
agréable	agreeable	
agréablement	agreeably	
agréer	accept	
agrégat	aggregate	
agrégation	aggregation	
agrément	pleasantness	
ah	oh	A
aide	aid	A
aider	abet	A
aigle	eagle	
aiglefin	haddock	
aiglon	eaglet	
aigre	acetous	
aigreur	tartness	
aigrir	acidify	
aigu	sharp	
aiguille	needle	A
aiguiller	commute	
aiguiser	sharpen	
ail	garlic	A
aile	wing	
ailleurs	elsewhere	
aimable	affable	
aimant	affectionate	
aimer	love	
aine	groin	
ainsi	so	
airain	bronze	
aire	area	
aisselle	armpit	
ajourner	adjourn	
ajouter	add	
ajuster	accomodate	
alarme	alarm	
alarmer	alarm	A
albanais	albanian	
albanie	albania	
albatros	albatross	A
albe	alva	
alcali	alkali	
alcalin	alkaline	
alchimie	alchemy	
alchimiste	alchemist	
alcool	alcohol	
alcoolique	alcoholic	
alcoolisme	alcoholism	
alcôve	alcove	
aldéhyde	aldehyde	
alentour	roundabout	
alentours	surroundings	
alep	aleppo	
alerte	alarm	
alerter	alarm	A
alexandre	alexander	
alexandrie	alexandria	
alger	algiers	
algue	alga	
algèbre	algebra	
algébrique	algebraic	
algérie	algeria	
algérien	algerian	
aliment	food	A
alimenter	feed	
alinéa	paragraph	
aliénation	craziness	
aliéniste	psychiatrist	
aliéné	lunatic	
allaiter	suckle	
allemagne	germany	
allemand	german	
allemande	german	
aller	fare	A
allergie	allergy	
allergique	allergic	
alliage	alloy	
allier	connect	A
allitération	alliteration	
allonger	lengthen	
allouer	assign	
allumer	kindle	
allumette	match	
allure	appearance	A
alléchant	attractive	
allécher	attract	
allée	avenue	
allégorie	allegory	
allégorique	allegoric	
allégresse	gladness	
allô	hello	
almanach	almanac	
alors	then	
alouette	lark	
aloès	aloe	
alpaga	alpaca	
alpes	alps	
alpestre	alpine	
alphabétique	alphabetical	
alpin	alpine	
alpinisme	mountaineering	
alpiniste	alpinist	
alsacien	alsatian	
alterner	alternate	
altier	proud	
alto	contralto	A
altruisme	altruism	
altruiste	altruist	
alun	alum	
aléa	hazard	
aléatoire	uncertain	
amabilité	kindness	
amadouer	flatter	
amande	almond	
amant	lover	
amante	lover	
amarante	amaranthus	
amas	accumulation	
amazone	amazon	
ambassade	embassy	
ambassadeur	ambassador	
ambassadrice	ambassador	
ambiance	atmosphere	A
ambigu	ambiguous	
ambitieux	ambitious	
amboine	amboina	
ambre	amber	
ambroisie	ambrosia	
amende	fine	
amender	improve	
amener	bring	
amer	acerbic	
ami	friend	A
amibe	amoeba	
amical	friendly	
amie	friend	
amiral	admiral	
amitié	friendship	
ammoniaque	ammonia	
amnistie	amnesty	
amoindrir	abate	
amok	amuck	A
amorphe	amorphous	
amour	affection	A
amoureux	affectionate	
amphibie	amphibian	
amphibologique	ambiguous	
amphitryon	host	
amphitéâtre	amphitheatre	
amphore	amphora	
amphétamine	amphetamine	
ampleur	bulk	
amplifier	aggrandize	A
ampoule	bulb	A
amputer	amputate	
amulette	amulet	
amusant	amusing	
amusement	entertainment	A
amuser	amuse	A
amygdale	tonsil	A
amène	affable	
améliorer	improve	
aménité	kindness	
américain	american	
américaniser	americanize	
amérique	america	
améthyste	amethyst	
an	year	A
anabaptisme	anabaptism	
anachronisme	anachronism	
anagramme	anagram	
analogie	analogy	
analogique	analogous	
analogue	analogous	A
analphabète	illiterate	
analyse	analysis	A
analyser	analyse	A
analyste	analyst	
ananas	pineapple	A
anapeste	anapaest	
anar	anarchist	
anarchie	anarchy	
anarchique	anarchic	
anarchisme	anarchism	
anarchiste	anarchist	
anathème	anathema	
anatomie	anatomy	
anatomique	anatomical	A
anatomiste	anatomist	
anchois	anchovy	
ancien	former	
ancolie	columbine	
ancre	anchor	
ancêtre	forefather	
andalou	andalusian	
andalousie	andalusia	
andorran	andorrian	A
andorre	andorra	
andouille	sausage	
andrinople	adrianople	
anecdotique	anecdotal	
anesthésie	anaesthesia	
anesthésiste	anaesthetist	
ange	angel	
angine	angina	
anglais	englishman	A
angle	englishman	A
angleterre	england	
anglicisme	anglicism	
angoisse	agony	
angolais	angolese	
anguille	eel	
anguillule	eelworm	
angulaire	angular	
anguleux	angular	
angélique	angelica	
animation	organisation	A
animer	animate	
animé	active	
anne	ann	A
anneau	ring	
annibal	hannibal	
annihilation	destruction	A
anniversaire	anniversary	
annonce	ad	
annoncer	advertise	
annonciation	annunciation	
annuaire	almanac	
annuel	annual	
annuellement	yearly	
annulation	abolition	
annuler	abolish	
année	year	
anonymat	anonymity	
anonyme	anonymous	
anormal	abnormal	
anse	handle	
antagoniste	adversary	
antarctique	antarctic	
antenne	aerial	
anthologie	anthology	
anthropologie	anthropology	
anthropologiste	anthropologist	
anthropologue	anthropologist	
antibiotique	antibiotic	
anticiper	anticipate	
anticorps	antibody	
antigel	antifreeze	
antillais	antillian	
antilope	antelope	
antimoine	antimony	
antioche	antioch	
antipathie	aversion	
antipathique	nasty	
antique	ancient	A
antiseptique	antiseptic	
antithèse	antithesis	
antoine	antony	
antéchrist	antichrist	
antécédent	antecedent	
anvers	antwerp	
anversois	antwerp	
anxiété	anxiety	
anémie	anaemia	
anémique	anaemic	
anémone	anemone	
août	august	
apathie	apathy	
apathique	apathetic	
apennins	apennines	
apercevoir	perceive	
apesanteur	weightlessness	
aphasie	aphasia	
aphorisme	aphorism	
apiculteur	apiarist	
